site_id,site_name,latitude,longitude,elevation,monitoring,n_d18o_samples,n_d13c_samples,n_entities
128,Buckeye creek,37.9800,-80.4000,600.0,unknown,3014,1024,9
129,Grotta di Carburangeli,38.1665,13.1603,22.0,yes,1232,1232,1
130,Dandak cave,19.0000,82.0000,400.0,no,1874,1871,1
131,Grotta di Ernesto,45.9667,11.6500,1167.0,yes,1220,1220,1
132,Kleegruben cave,47.0800,11.6700,2165.0,yes,3224,3224,2
133,Buca della Renella,44.0800,10.2100,300.0,yes,1617,1619,3
134,Cave of the Bells,31.7500,-110.7500,1639.0,yes,1207,0,1
135,Grotte de Piste,33.9500,-4.2460,1260.0,yes,792,0,2
136,Juxtlahuaca cave,17.4000,-99.2000,934.0,yes,2707,688,4
137,Kinderlinskaya cave,54.1500,56.8500,240.0,yes,1866,933,3
138,Moomi cave,12.5500,54.2000,400.0,no,1521,632,2
139,Oregon caves national monument,42.0981,-123.4072,1300.0,yes,2680,2680,1
140,Sanbao cave,31.6670,110.4333,1900.0,no,10061,0,24
141,Sofular cave,41.4167,31.9333,440.0,unknown,9358,3976,6
142,Tianmen,30.9167,90.0667,4800.0,no,1399,0,4
143,Cova da Arcoia,42.6100,-7.0900,1240.0,no,100,100,1
144,Botuverá cave,-27.2247,-49.1569,180.0,yes,1599,1599,3
145,Antro del Corchia,43.9833,10.2167,840.0,yes,7490,7379,14
146,Gunung-buda cave (snail shell cave),4.0200,114.4800,150.0,yes,728,0,2
147,Fort Stanton cave,33.5067,-105.4433,1864.0,unknown,1568,359,2
148,Buffalo cave,-24.1428,29.1770,1140.0,no,483,483,1
149,Arch cave,50.5500,-127.0700,660.0,no,40,40,1
150,Exhaleair cave,-41.2833,172.6330,685.0,no,33,33,1
151,Guillotine cave,-42.3108,172.2178,130.0,unknown,187,187,1
152,Hoti cave,23.0833,57.3500,800.0,no,1219,832,2
153,Jhumar cave,18.8667,81.8667,600.0,yes,642,572,1
154,Jiuxian cave,33.5667,109.1000,1495.0,no,1043,0,2
155,KNI-51,-15.3000,128.6200,100.0,yes,2156,182,20
156,Mavri Trypa cave,36.7360,21.7596,70.0,no,354,354,1
157,Munagamanu cave,15.1500,77.9200,475.0,no,423,423,2
158,Nettlebed cave,-41.2300,172.6800,390.0,no,201,201,1
159,Qunf cave,17.1667,54.3000,650.0,no,1412,0,1
160,Soreq cave,31.7558,35.0226,400.0,yes,4064,2631,4
161,Aurora cave,-45.2953,167.6979,260.0,unknown,124,124,1
162,"Calcite cave (Mt Luxmore, Fiordland)",-46.0200,167.7400,1025.0,unknown,51,51,1
163,Gardener's Gut,-38.2500,175.0200,90.0,unknown,208,208,2
164,Max's cave,-38.2667,175.0167,325.0,unknown,61,61,1
165,Ruakuri cave,-36.2700,175.0800,80.0,unknown,829,829,6
166,Te Reinga cave,-38.8200,177.5200,100.0,unknown,429,429,2
167,Waiau cave,-46.0000,167.7300,100.0,unknown,26,26,1
168,Wazpretti cave,-42.1000,171.4000,95.0,unknown,85,85,1
169,Doubtful Xanadu,-45.3735,167.0476,960.0,unknown,96,96,1
170,Defore cave,17.1667,54.0833,150.0,no,603,603,1
171,Devils Hole,36.4254,-116.2915,719.0,unknown,1830,1830,4
172,Wolkberg cave,-24.1000,29.8800,1450.0,no,195,195,1
173,Perdida cave,18.0000,-67.0000,350.0,yes,216,218,1
174,Zhuliuping cave,26.0167,104.0950,1217.0,unknown,1128,1128,2
175,Yaoba Don cave,28.8000,109.8300,420.0,unknown,189,189,1
176,Qingtian cave,31.3333,110.3667,1630.0,no,1806,0,5
177,Santo Tomas cave,22.5500,-83.8400,170.0,no,2002,2010,4
178,Yamen cave,25.4833,107.9000,570.0,unknown,1020,0,1
179,Closani cave,45.1000,22.8000,433.0,yes,1832,1832,1
180,Chillagoe cave,-17.2000,144.6000,489.0,no,777,0,1
181,Forestry cave,-9.4890,159.9740,200.0,no,2679,2679,2
182,Kotumsar cave,19.0000,82.0000,32.0,no,1546,1546,2
183,Dos Anas cave,22.3800,-83.9700,120.0,yes,1823,1824,2
184,Cape range,-22.1000,114.0000,100.0,no,1499,0,1
185,Beatus cave,46.6847,7.7819,875.0,unknown,3037,0,2
186,Bribin cave,-8.0500,110.6330,500.0,no,377,374,1
187,Cesare Battisti cave,46.1300,11.0300,1880.0,yes,435,435,3
188,Chan Hol cave,20.1600,-87.5700,-8.5,no,117,117,1
189,Chen Ha cave,16.6769,-89.0925,550.0,no,1573,1573,1
190,Cold Water cave,43.4678,-91.9750,356.0,unknown,483,483,3
191,Devil's Icebox cave,38.1500,-92.0500,250.0,unknown,115,115,2
192,El Condor cave,-5.9300,-77.3000,860.0,unknown,1797,742,4
193,Frasassi cave system - Grotta Grande del Vento,43.4008,12.9619,257.0,yes,544,546,1
194,Goshute cave,40.0333,-114.7833,2000.0,unknown,119,119,2
195,Harrison's cave,13.2000,-59.6000,300.0,yes,344,344,1
196,Karaca cave,40.5443,39.4029,1536.0,no,309,309,1
197,Klaus Cramer cave,47.2600,9.5200,1964.0,unknown,850,0,1
198,"Lianhua cave, Hunan",29.4800,109.5333,455.0,no,1573,818,2
199,Lynds cave,-41.5800,146.2500,300.0,no,53,53,1
200,Minnetonka cave,42.0875,-111.5190,2347.0,yes,694,694,1
201,Moondyne cave,-34.2700,115.0800,100.0,no,44,44,1
202,Piani Eterni karst system,46.1600,11.9900,1893.0,no,964,964,3
203,Poleva cave,44.7144,21.7469,390.0,no,154,154,1
204,Xibalba cave,16.5000,-89.0000,350.0,unknown,595,582,1
205,São Bernardo cave,-13.8100,-46.3500,631.0,yes,3428,1714,2
206,São Matheus cave,-13.8100,-46.3500,631.0,no,576,0,1
207,Shatuca cave,-5.7000,-77.9000,1960.0,no,3966,0,3
208,Tangga cave,-0.3600,100.7600,600.0,no,981,981,1
209,Uluu-Too cave,40.4000,72.3500,1490.0,yes,1807,1807,1
210,White moon cave,37.0000,-122.1830,170.0,yes,273,273,1
211,Xiangshui cave,25.2500,110.9200,380.0,unknown,248,248,1
212,Peqiin cave,32.5800,35.1900,650.0,unknown,569,569,4
213,Tausoare cave,47.4333,24.5167,950.0,yes,740,740,1
214,Cave C126,-22.1000,113.9000,100.0,no,312,312,2
215,Chaara cave,33.9558,-4.2461,1260.0,no,2350,0,3
216,Dark cave,27.2000,106.1667,1120.0,no,510,0,2
217,E'mei cave,29.5000,115.5000,53.0,no,779,779,1
218,Nuanhe cave,41.3333,124.9167,500.0,no,687,687,2
219,Shennong cave,28.7100,117.2600,383.0,yes,2523,2523,6
220,Baeg-nyong cave,37.2700,128.5800,250.0,yes,303,0,1
221,La Vierge cave,-19.7572,63.3703,32.0,no,2666,2666,3
222,Patate cave,-19.7583,63.3864,20.0,no,190,190,1
223,Wanxiang cave,33.3200,105.0000,1200.0,yes,1448,0,3
224,Xianglong cave,33.0000,106.3300,940.0,yes,981,981,3
225,Chiflonkhakha cave,-18.1222,-65.7739,2660.0,no,702,371,6
226,Cueva del Diamante,-5.7300,-77.5000,960.0,unknown,1835,1838,5
227,El Capitan cave,56.1620,-133.3190,80.0,no,453,453,1
228,Bat cave,32.1000,-104.2600,1300.0,unknown,147,147,1
229,Actun Tunichil Muknal,17.1000,-88.8500,40.0,no,1248,1248,1
230,Marota cave,-12.6227,-41.0216,560.0,no,734,0,1
231,Pacupahuain cave,-11.2400,-75.8200,3800.0,unknown,1009,1010,1
232,Rio Secreto cave system,20.5900,-87.1300,20.0,yes,1160,333,2
233,Robinson cave,33.0000,-107.7000,2007.0,unknown,136,136,1
234,Santana cave,-24.5308,-48.7267,250.0,yes,665,665,2
235,Cueva del Tigre Perdido,-5.9406,-77.3081,1000.0,unknown,590,0,2
236,Toca da Boa Vista,-10.1602,-40.8605,600.0,no,806,61,4
237,Umajalanta cave,-18.1200,-65.7700,2830.0,no,242,0,1
238,Akalagavi cave,14.9833,74.5167,521.0,no,301,301,1
239,Baluk cave,42.4330,84.7330,2752.0,no,250,0,1
240,Baratang cave,12.0833,92.7500,20.0,no,226,226,2
241,Gempa bumi cave,-5.0000,120.0000,140.0,unknown,1077,1077,2
242,Haozhu cave,30.6833,109.9833,1017.0,unknown,422,0,2
243,Kailash cave,18.8445,81.9915,490.0,no,1186,0,1
244,"Lianhua cave, Shanxi",38.1667,113.7167,1200.0,no,1138,0,6
245,Nakarallu cave,14.5200,77.9900,280.0,no,1134,1134,1
246,Palawan cave,10.2000,118.9000,2.0,no,335,0,1
247,Shalaii cave,35.1469,45.2958,739.0,yes,65,65,2
248,Shenqi cave,28.3330,103.1000,1407.0,unknown,787,0,2
249,Shigao cave,28.1830,107.1670,970.0,unknown,453,0,2
250,Wuya cave,33.8200,105.4300,1370.0,no,2576,2282,6
251,Zhenzhu cave,38.2500,113.7000,975.0,yes,470,470,1
252,Andriamaniloke,-24.0510,43.7569,20.0,no,106,106,1
253,Hoq cave,12.5866,54.3543,335.0,no,1426,1426,3
254,PP29,-34.2078,22.0876,10.0,no,554,557,9
255,Mitoho,-24.0477,43.7533,20.0,no,1387,1387,1
256,Lithophagus cave,46.8280,22.6000,545.0,no,42,42,1
257,Akcakale cave,40.4498,39.5365,1530.0,yes,218,218,1
258,B7 cave,49.0000,7.0000,185.0,yes,227,227,1
259,Cobre cave,42.9800,-4.3700,1600.0,unknown,252,252,1
260,Crovassa Azzurra,39.2800,8.4800,410.0,no,737,737,1
261,El Soplao cave,43.2962,-4.3937,550.0,yes,329,329,1
262,Bleßberg cave,50.4244,11.0203,500.0,yes,1957,1957,2
263,Bulgarian Orlova Chuka cave,43.5937,25.9597,150.0,no,763,763,1
264,Strašna peć cave,44.0049,15.0388,74.0,yes,258,258,2
265,Coves de Campanet,39.7937,2.9683,65.0,no,448,448,1
266,Cueva Victoria,37.6322,-0.8215,75.0,no,1030,1030,4
267,Gruta do Casal da Lebre,39.3000,-9.2667,130.0,yes,55,55,1
268,Pere Noel cave,50.0000,5.2000,230.0,yes,260,260,2
269,Gejkar cave,35.8000,45.1645,650.0,no,841,841,1
270,Gol-E-Zard cave,35.8400,52.0000,2535.0,yes,259,259,1
271,Jersey cave,-35.7200,148.4900,800.0,no,132,132,1
272,Metro cave,-41.9300,171.4700,60.0,unknown,489,488,1
273,Crystal cave,36.5900,-118.8200,1386.0,yes,1054,0,1
274,Terciopelo cave,10.1700,-85.3300,370.0,no,1705,1705,4
275,Buraca Gloriosa,39.5333,-8.7833,420.0,yes,1400,1400,5
276,Béke cave,48.4833,20.5167,338.0,yes,261,261,1
277,Huagapo cave,-11.2700,-75.7900,3850.0,no,4220,1347,6
278,Pink Panther cave,32.0000,-105.2000,1900.0,unknown,682,0,1
279,Staircase cave,-34.2071,22.0899,30.0,no,632,632,8
280,Atta cave,51.1000,7.9000,308.0,yes,384,384,1
281,Venado cave,10.5500,-84.7700,380.0,no,253,253,1
282,Wadi Sannur cave,28.6167,31.2833,200.0,no,70,0,1
283,Babylon cave,-41.9500,171.4700,175.0,unknown,219,219,3
284,Creighton`s cave,-40.6300,172.4700,80.0,unknown,40,40,1
285,Disbelief cave,-38.8200,177.5200,600.0,unknown,46,46,1
286,La Garma cave,43.4306,-3.6658,85.0,yes,765,497,3
287,Twin Forks cave,-40.6300,172.4800,80.0,unknown,34,34,1
288,Wet Neck cave,-40.7000,172.4800,90.0,unknown,140,140,2
289,Gassel Tropfsteinhöhle,47.8228,13.8428,1225.0,unknown,3047,3047,6
290,Grete-Ruth Shaft,47.5429,12.0272,1435.0,no,705,705,1
292,Limnon cave,37.9605,22.1403,820.0,yes,177,177,1
293,Tham Doun Mai,20.7500,102.6500,352.0,yes,2481,2481,4
294,Palco cave,18.3500,-66.5000,250.0,no,340,0,1
295,Qadisha cave,34.2439,36.0364,1720.0,yes,228,228,2
296,Amir Timur cave,39.4227,66.7632,1813.0,no,270,270,1
297,Bàsura cave,44.1300,8.2000,200.0,yes,265,0,1
298,Belum cave,15.1000,78.1000,367.0,no,861,861,1
299,Calabrez,43.4500,-5.1300,121.0,no,42,42,1
300,Careys cave,-35.0700,148.6600,393.0,yes,178,178,1
301,Cathedral cave,-32.6170,148.9400,300.0,yes,575,575,2
302,Crevice cave,-34.2100,22.0900,14.0,no,352,352,1
303,"Crystal cave, Australia",-34.1000,115.0000,100.0,no,246,246,1
304,Cueva Bonita,23.0000,-99.0000,1071.0,yes,399,399,1
305,Cueva Rosa,43.4436,-5.1403,121.0,no,499,499,4
306,Cuíca cave,-11.6822,-60.6431,310.0,yes,1509,1505,2
307,Efflux cave,-33.4100,22.3400,716.0,no,1657,1666,6
308,GD8,80.3777,-21.7468,520.0,no,1918,1918,3
309,Goda Mea cave,9.4900,37.6600,1574.0,yes,1354,1351,1
310,Golgotha cave,-34.0830,115.0500,72.0,yes,897,897,4
311,Harrie Wood cave,-35.7000,148.5000,965.0,yes,579,580,3
312,Heifeng cave,29.0167,107.1833,2132.0,no,325,0,1
313,Herbstlabyrinth cave,50.6875,8.2058,435.0,yes,1598,1598,4
314,Herolds Bay cave,-34.0500,22.3900,5.0,no,477,484,5
315,Huangchao cave,36.6167,118.3333,518.0,no,111,111,1
