dating_id,entity_id,date_type,depth_dating,dating_thickness,lab_num,material_dated,min_weight,max_weight,uncorr_age,uncorr_age_uncert_pos,uncorr_age_uncert_neg,c14_correction,calib_used,date_used,u238_content,u238_uncertainty,th232_content,th232_uncertainty,th230_content,th230_uncertainty,th230_th232_ratio,th230_th232_ratio_uncertainty,th230_u238_activity,th230_u238_activity_uncertainty,u234_u238_activity,u234_u238_activity_uncertainty,ini_230th_232th_ratio,ini_230th_232th_ratio_uncertainty,decay_constant,corr_age,corr_age_uncert_pos,corr_age_uncert_neg,date_used_lin_interp,date_used_lin_reg,date_used_bchron,date_used_bacon,date_used_oxcal,date_used_copra,date_used_stalage
8968,483,MC-ICP-MS U/Th,266,,266,calcite,,,11550,80,80,,,yes,938,2,1210,40,,,479.4031872,14.80782045,0.2023,0.0012,1.9907,0.0034,0.814430125,0.407215062,Cheng et al. 2000,11530,80,80,,,,,,,
8969,484,MC-ICP-MS U/Th,16,,16,calcite,,,129300,700,700,,,yes,607,1,1640,20,,,1340.107751,12.9568429,1.1826,0.0034,1.9557,0.0028,0.814430125,0.407215062,Cheng et al. 2000,129300,700,700,yes,,yes,yes,,yes,yes
8970,484,MC-ICP-MS U/Th,38,,38,calcite,,,130200,800,800,,,yes,449,1,1510,30,,,1073.566983,18.50977557,1.185,0.0038,1.9567,0.0056,0.814430125,0.407215062,Cheng et al. 2000,130200,800,800,yes,,yes,yes,,yes,yes
8971,484,MC-ICP-MS U/Th,63,,63,calcite,,,131100,1600,1600,,,yes,631,2,1520,70,,,1517.801597,74.03910227,1.1945,0.0075,1.9547,0.0049,0.814430125,0.407215062,Cheng et al. 2000,131100,1600,1600,yes,,yes,yes,,yes,yes
8972,484,MC-ICP-MS U/Th,87,,87,calcite,,,136400,900,900,,,yes,435,1,1070,30,,,1517.801597,37.01955113,1.2184,0.0039,1.9479,0.0065,0.814430125,0.407215062,Cheng et al. 2000,136400,900,900,yes,,yes,yes,,yes,yes
8973,484,MC-ICP-MS U/Th,106,,106,calcite,,,138900,1600,1600,,,yes,574,2,400,50,,,5370,740,1.2316,0.0067,1.9605,0.0024,0.814430125,0.407215062,Cheng et al. 2000,138900,1600,1600,yes,,yes,yes,,yes,yes
8974,484,MC-ICP-MS U/Th,118,,118,calcite,,,139100,1300,1300,,,yes,483,1,1010,30,,,1813.958006,55.5293267,1.2345,0.0053,1.7893,0.0021,0.814430125,0.407215062,Cheng et al. 2000,139100,1300,1300,yes,,yes,yes,,yes,yes
8975,484,MC-ICP-MS U/Th,205,,205,calcite,,,152500,1500,1500,,,yes,440,1,1330,20,,,1277.174514,18.50977557,1.2617,0.0053,1.7711,0.0031,0.814430125,0.407215062,Cheng et al. 2000,152500,1500,1500,yes,,yes,yes,,yes,yes
8976,484,MC-ICP-MS U/Th,245,,245,calcite,,,161200,1300,1300,,,yes,481,1,1760,20,,,1086.523826,12.9568429,1.3009,0.0047,1.7677,0.0028,0.814430125,0.407215062,Cheng et al. 2000,161100,1300,1300,yes,,yes,yes,,yes,yes
8977,484,MC-ICP-MS U/Th,254,,254,calcite,,,165000,1400,1400,,,yes,280.8,0.5,5100,30,,,220.451427,1.480782045,1.3105,0.0046,1.7845,0.0017,0.814430125,0.407215062,Cheng et al. 2000,164700,1400,1400,yes,,yes,yes,,yes,yes
8978,484,MC-ICP-MS U/Th,265,,265,calcite,,,167500,1400,1400,,,yes,416.9,0.8,1140,20,,,1462.27227,37.01955113,1.3012,0.0045,1.7619,0.0021,0.814430125,0.407215062,Cheng et al. 2000,167500,1400,1400,yes,,yes,yes,,yes,yes
8979,484,MC-ICP-MS U/Th,305,,305,calcite,,,174100,2200,2200,,,yes,399,1,1740,20,,,921.7868233,9.254887784,1.3131,0.0064,1.7528,0.0017,0.814430125,0.407215062,Cheng et al. 2000,174000,2200,2200,yes,,yes,yes,,yes,yes
8980,484,MC-ICP-MS U/Th,325,,325,calcite,,,177100,1600,1600,,,yes,433.8,0.9,1250,20,,,1388.233168,18.50977557,1.3136,0.0048,2.004,0.0071,0.814430125,0.407215062,Cheng et al. 2000,177100,1600,1600,yes,,yes,yes,,yes,yes
