sample_id,lin_interp_age,lin_interp_age_uncert_pos,lin_interp_age_uncert_neg,lin_reg_age,lin_reg_age_uncert_pos,lin_reg_age_uncert_neg,bchron_age,bchron_age_uncert_pos,bchron_age_uncert_neg,bacon_age,bacon_age_uncert_pos,bacon_age_uncert_neg,oxcal_age,oxcal_age_uncert_pos,oxcal_age_uncert_neg,copra_age,copra_age_uncert_pos,copra_age_uncert_neg,stalage_age,stalage_age_uncert_pos,stalage_age_uncert_neg
25621,5643.57886,18.69881645,18.26012557,,,,5645,48,66.05,5641.98407,24.96939425,83.13653103,5649.643902,117.7963024,117.7963024,5640.72443,16.72649139,16.73955589,5644.653672,17.59284206,18.40832067
25622,5646.597886,18.31864205,17.62246854,,,,5648,47,66.05,5644.97808,24.664964,85.4828364,5653.790244,116.9946439,116.9946439,5643.787256,16.2724556,16.32673053,5647.992905,17.33816191,18.21056979
25623,5649.680373,17.9494434,17.17435284,,,,5651,45,68,5647.92988,24.11004575,88.04988937,5657.936585,116.2202049,116.2202049,5646.849238,16.11683283,16.12295671,5651.346253,17.07654322,18.00936971
25624,5652.744217,17.67621545,16.65870277,,,,5654,44,69.05,5650.737625,23.7251125,90.27534625,5662.082927,115.5274244,115.5274244,5649.847688,15.85297313,15.82732006,5654.706607,16.81895405,17.8033622
25625,5655.855366,17.47900213,16.32844907,,,,5657,42.05,68.05,5653.713358,23.1449775,92.7240871,5666.180488,114.6826049,114.6826049,5652.926594,15.51616002,15.57054064,5658.063514,16.58021612,17.59165165
25626,5658.925379,16.95056979,15.96575868,,,,5660,41,69,5656.61688,23.016901,95.4483592,5670.082927,113.2296293,113.2296293,5656.093669,15.32300639,15.42945231,5661.406518,16.37515115,17.37334243
25627,5661.914736,16.65448285,15.58097688,,,,5663,39,71,5659.449863,22.632941,98.1020913,5673.985366,111.8025415,111.8025415,5659.241204,15.30004896,15.32392995,5664.72923,16.21194918,17.14919498
25628,5664.96582,16.1544351,15.29729113,,,,5666,37,72,5662.25191,22.410959,100.4762383,5677.887805,110.5221512,110.5221512,5662.353775,15.20509174,15.19068687,5668.041517,16.0722736,16.92659396
25629,5668.023057,15.64702816,15.01638881,,,,5669,36,70.15,5665.238225,21.99867875,102.9563566,5681.765854,109.2036732,109.2036732,5665.436557,15.26609724,15.07471208,5671.357312,15.93115611,16.71458011
25630,5671.053489,15.18412641,14.67528886,,,,5672,35,71,5668.04528,21.666422,105.5081454,5685.42439,107.5424049,107.5424049,5668.5408,15.01167879,14.95249456,5674.690545,15.76362842,16.52219416
