sample_id,d18o_measurement,d18o_precision
65702,-7.7851,0.08
65703,-8.018,0.08
65704,-8.0594,0.08
65705,-7.8592,0.08
65706,-7.6838,0.08
65707,-7.637,0.08
65708,-7.708,0.08
65709,-7.8517,0.08
65710,-7.864,0.08
65711,-7.9304,0.08
65712,-7.6999,0.08
65713,-7.7497,0.08
65714,-7.8389,0.08
65715,-7.9137,0.08
65716,-8.2047,0.08
65717,-8.2592,0.08
65718,-8.1243,0.08
65719,-7.8792,0.08
65720,-7.8003,0.08
65721,-7.7373,0.08
65722,-7.5218,0.08
65723,-7.4942,0.08
65724,-7.7487,0.08
65725,-7.8745,0.08
65726,-7.7773,0.08
65727,-7.5832,0.08
65728,-7.6663,0.08
65729,-7.6664,0.08
65730,-7.6454,0.08
65731,-7.6654,0.08
65732,-7.6468,0.08
65733,-7.7864,0.08
65734,-7.8232,0.08
65735,-7.6669,0.08
65736,-7.5097,0.08
65737,-7.5388,0.08
65738,-7.7206,0.08
65739,-7.6936,0.08
65740,-7.5757,0.08
65741,-7.4381,0.08
65742,-7.5619,0.08
65743,-7.5627,0.08
65744,-7.6439,0.08
65745,-7.6366,0.08
65746,-7.4381,0.08
65747,-7.4089,0.08
65748,-7.5298,0.08
65749,-7.66,0.08
65750,-7.6681,0.08
65751,-7.5466,0.08
65752,-7.6092,0.08
65753,-7.6083,0.08
65754,-7.6526,0.08
65755,-7.6647,0.08
65756,-7.6953,0.08
65757,-7.7619,0.08
65758,-7.8553,0.08
65759,-7.9543,0.08
65760,-7.9631,0.08
65761,-7.9484,0.08
65762,-7.876,0.08
65763,-7.6968,0.08
65764,-7.6832,0.08
65765,-7.744,0.08
65766,-7.7894,0.08
65767,-7.8624,0.08
65768,-7.9798,0.08
65769,-7.7533,0.08
65770,-7.6079,0.08
65771,-7.5927,0.08
65772,-7.4857,0.08
65773,-7.4298,0.08
65774,-7.45,0.08
65775,-7.523,0.08
65776,-7.5049,0.08
65777,-7.5401,0.08
65778,-7.548,0.08
65779,-7.4553,0.08
65780,-7.385,0.08
65781,-7.3562,0.08
65782,-7.5375,0.08
65783,-7.7002,0.08
65784,-7.3241,0.08
65785,-7.2296,0.08
65786,-7.0364,0.08
65787,-7.0273,0.08
65788,-7.169,0.08
65789,-7.2147,0.08
65790,-7.4306,0.08
65791,-7.4386,0.08
65792,-7.3885,0.08
65793,-7.4492,0.08
65794,-7.425,0.08
65795,-7.4968,0.08
65796,-7.6471,0.08
65797,-7.7875,0.08
65798,-7.6763,0.08
65799,-7.4836,0.08
65800,-7.37,0.08
65801,-7.2294,0.08
65802,-7.4854,0.08
65803,-7.5142,0.08
65804,-7.5505,0.08
65805,-7.6043,0.08
65806,-7.5421,0.08
65807,-7.5451,0.08
65808,-7.5062,0.08
65809,-7.5483,0.08
65810,-7.6108,0.08
65811,-7.5414,0.08
65812,-7.7335,0.08
65813,-7.6738,0.08
65814,-7.7504,0.08
65815,-7.7966,0.08
65816,-7.8181,0.08
65817,-7.8172,0.08
65818,-7.8363,0.08
65819,-7.8303,0.08
65820,-7.849,0.08
65821,-8.1848,0.08
65822,-8.0193,0.08
65823,-7.929,0.08
65824,-7.9955,0.08
65825,-7.7283,0.08
65826,-7.3989,0.08
65827,-7.4746,0.08
65828,-7.5743,0.08
65829,-7.7269,0.08
65830,-7.7873,0.08
65831,-7.7455,0.08
65832,-7.7249,0.08
65833,-7.8046,0.08
65834,-7.8537,0.08
65835,-7.7727,0.08
65836,-7.7301,0.08
65837,-7.7811,0.08
65838,-7.7394,0.08
65839,-7.57,0.08
65840,-7.422,0.08
65841,-7.4852,0.08
65842,-7.6366,0.08
65843,-7.7019,0.08
65844,-7.7299,0.08
65845,-7.5892,0.08
65846,-7.5726,0.08
65847,-7.6905,0.08
65848,-7.8124,0.08
65849,-7.6192,0.08
65850,-7.5855,0.08
65851,-7.4843,0.08
65852,-7.362,0.08
65853,-7.2935,0.08
65854,-7.4227,0.08
65855,-7.5901,0.08
65856,-7.6483,0.08
65857,-7.7209,0.08
65858,-7.6524,0.08
65859,-7.7294,0.08
65860,-7.7268,0.08
65861,-7.6919,0.08
65862,-7.6274,0.08
65863,-7.6702,0.08
65864,-7.6612,0.08
65865,-7.6156,0.08
65866,-7.6405,0.08
65867,-7.8477,0.08
65868,-7.9477,0.08
65869,-8.0199,0.08
65870,-7.783,0.08
65871,-7.8129,0.08
65872,-7.5899,0.08
65873,-7.533,0.08
65874,-7.7055,0.08
65875,-7.7271,0.08
65876,-7.6917,0.08
65877,-7.8274,0.08
65878,-7.8587,0.08
65879,-7.9687,0.08
65880,-7.8642,0.08
65881,-7.9597,0.08
65882,-7.792,0.08
65883,-7.8495,0.08
65884,-7.8929,0.08
65885,-7.978,0.08
65886,-7.9566,0.08
65887,-7.8775,0.08
65888,-7.958,0.08
65889,-7.7134,0.08
65890,-7.723,0.08
65891,-7.8042,0.08
65892,-7.908,0.08
65893,-8.0755,0.08
65894,-8.0928,0.08
65895,-8.1044,0.08
65896,-7.9643,0.08
65897,-7.9947,0.08
65898,-8.0096,0.08
65899,-7.9835,0.08
65900,-7.9019,0.08
65901,-7.8497,0.08
65902,-7.7943,0.08
65903,-7.7022,0.08
65904,-7.7916,0.08
65905,-7.8245,0.08
65906,-7.7452,0.08
65907,-7.5824,0.08
65908,-7.6192,0.08
65909,-7.586,0.08
65910,-7.6215,0.08
65911,-7.3583,0.08
65912,-7.2314,0.08
65913,-7.2989,0.08
65914,-7.3778,0.08
65915,-7.4055,0.08
65916,-7.3891,0.08
65917,-7.3764,0.08
65918,-7.5053,0.08
65919,-7.4268,0.08
65920,-7.5935,0.08
65921,-7.6795,0.08
65922,-7.7047,0.08
65923,-7.6108,0.08
65924,-7.5532,0.08
65925,-7.5023,0.08
65926,-7.3123,0.08
65927,-7.2307,0.08
65928,-7.174,0.08
65929,-7.1043,0.08
65930,-7.1312,0.08
65931,-7.0407,0.08
65932,-7.1882,0.08
65933,-7.2648,0.08
65934,-7.2975,0.08
65935,-7.3089,0.08
65936,-7.2887,0.08
65937,-7.454,0.08
65938,-7.503,0.08
65939,-7.303,0.08
65940,-7.5038,0.08
65941,-7.5471,0.08
65942,-7.4923,0.08
65943,-7.4612,0.08
65944,-7.4994,0.08
65945,-7.395,0.08
65946,-7.4755,0.08
65947,-7.7969,0.08
65948,-7.842,0.08
65949,-7.9366,0.08
65950,-7.7097,0.08
65951,-7.4481,0.08
65952,-7.4873,0.08
65953,-7.5712,0.08
65954,-7.6684,0.08
65955,-7.7523,0.08
65956,-7.8004,0.08
65957,-7.634,0.08
65958,-7.5902,0.08
65959,-7.7253,0.08
65960,-7.5389,0.08
65961,-7.483,0.08
65962,-7.7125,0.08
65963,-7.4728,0.08
65964,-7.5202,0.08
65965,-7.5404,0.08
65966,-7.6894,0.08
65967,-7.7001,0.08
65968,-7.7063,0.08
65969,-7.7878,0.08
65970,-7.6424,0.08
65971,-7.5305,0.08
65972,-7.5939,0.08
65973,-7.578,0.08
65974,-7.5227,0.08
65975,-7.3771,0.08
65976,-7.4453,0.08
65977,-7.4197,0.08
65978,-7.4586,0.08
65979,-7.4152,0.08
65980,-7.4505,0.08
65981,-7.3479,0.08
65982,-7.2607,0.08
65983,-7.4806,0.08
65984,-7.5265,0.08
65985,-7.64,0.08
65986,-7.6863,0.08
65987,-7.6413,0.08
65988,-7.6471,0.08
65989,-7.6911,0.08
65990,-7.7125,0.08
65991,-7.4513,0.08
65992,-7.5411,0.08
65993,-7.4982,0.08
65994,-7.346,0.08
