"site_id"|"site_name"|"geom"|"wkt"|"min_age_bp"|"max_age_bp"|"age_range_years"|"n_d18o_samples"|"n_d13c_samples"
319|"Jiulong cave"|"0101000020E61000009A99999999795C40CDCCCCCCCCCC3B40"|"POINT(113.9 27.8)"|212|7231|7019|"505"|"505"
343|"Sant'Angelo cave"|"0101000020E610000000000000008031409A99999999594440"|"POINT(17.5 40.7)"|6183|47711|41528|"1002"|"0"
305|"Cueva Rosa"|"0101000020E6100000E4839ECDAA8F14C0B84082E2C7B84540"|"POINT(-5.1403 43.4436)"|48893|138069|89175|"499"|"499"
272|"Metro cave"|"0101000020E6100000D7A3703D0A6F6540D7A3703D0AF744C0"|"POINT(171.47 -41.93)"|5334|12048613|12043279|"489"|"488"
80|"Furong cave"|"0101000020E6100000992A1895D4F95A40ED0DBE30993A3D40"|"POINT(107.9036 29.2289)"|-67|16293286|16293353|"669"|"299"
53|"Pippikin Pot cave"|"0101000020E610000029ED0DBE301904C033C4B12E6E1B4B40"|"POINT(-2.5123 54.2143)"|NULL|NULL|NULL|"483"|"483"
78|"Chilibrillo cave"|"0101000020E61000004850FC1873E753C09A779CA223592240"|"POINT(-79.6164 9.1741)"|648|1817534|1816886|"483"|"483"
190|"Cold Water cave"|"0101000020E61000006666666666FE56C0CE88D2DEE0BB4540"|"POINT(-91.975 43.4678)"|-40|11034|11074|"483"|"483"
69|"Xinglong cave"|"0101000020E61000000000000000605D400000000000404440"|"POINT(117.5 40.5)"|50062|55081576|55031514|"569"|"395"
57|"Soylegrotta cave"|"0101000020E61000000000000000002C400000000000805040"|"POINT(14 66)"|-41|10130|10171|"477"|"477"
111|"Rainha cave"|"0101000020E6100000C364AA6054D242C055302AA9135016C0"|"POINT(-37.6432 -5.5782)"|4040|17239219|17235179|"953"|"0"
265|"Coves de Campanet"|"0101000020E610000002BC051214BF0740E86A2BF697E54340"|"POINT(2.9683 39.7937)"|604|119271738|119271134|"439"|"439"
26|"Okshola cave"|"0101000020E61000000000000000002E400000000000C05040"|"POINT(15 67)"|-47|7287|7334|"438"|"438"
187|"Cesare Battisti cave"|"0101000020E61000008FC2F5285C0F2640713D0AD7A3104740"|"POINT(11.03 46.13)"|119744|127440965|127321221|"435"|"435"
25|"Palestina cave"|"0101000020E610000066666666665653C0AE47E17A14AE17C0"|"POINT(-77.35 -5.92)"|45|1634|1589|"434"|"435"
166|"Te Reinga cave"|"0101000020E6100000713D0AD7A3306640295C8FC2F56843C0"|"POINT(177.52 -38.82)"|NULL|NULL|NULL|"429"|"429"
236|"Toca da Boa Vista"|"0101000020E6100000A01A2FDD246E44C06EA301BC055224C0"|"POINT(-40.8605 -10.1602)"|38714|39190058|39151344|"791"|"61"
81|"Gueldaman cave"|"0101000020E6100000A3923A014D441240ACADD85F76374240"|"POINT(4.5667 36.4333)"|3194|6246|3052|"425"|"425"
197|"Klaus Cramer cave"|"0101000020E61000000AD7A3703D0A2340E17A14AE47A14740"|"POINT(9.52 47.26)"|63363|71658442|71595079|"850"|"0"
157|"Munagamanu cave"|"0101000020E61000007B14AE47E17A5340CDCCCCCCCC4C2E40"|"POINT(77.92 15.15)"|-59|3797|3856|"423"|"423"
